text,label
What was the net profit of Adani Enterprises Limited in 2023?,metric_lookup
How much revenue did Adani Enterprises Limited generate in 2024?,metric_lookup
What is the reported eps for Adani Enterprises Limited in 2025?,metric_lookup
Find the total assets for Adani Enterprises Limited in 2023,metric_lookup
What was the total debt of Adani Enterprises Limited in 2024?,metric_lookup
Could you tell me the total equity of Adani Enterprises Limited?,metric_lookup
What is the operating cash flow for Adani Enterprises Limited?,metric_lookup
State the current market cap of Adani Enterprises Limited,metric_lookup
What was the revenue of Adani Ports and Special Economic Zone Limited in 2025?,metric_lookup
How much was the net profit for Adani Ports and Special Economic Zone Limited in 2023?,metric_lookup
What is the eps of Adani Ports and Special Economic Zone Limited in 2024?,metric_lookup
Find the total assets of Adani Ports and Special Economic Zone Limited for 2025,metric_lookup
What was the total debt of Adani Ports and Special Economic Zone Limited in 2023?,metric_lookup
Show me the total equity for Adani Ports and Special Economic Zone Limited,metric_lookup
What is the operating cash flow of Adani Ports and Special Economic Zone Limited?,metric_lookup
Tell me the market cap of Adani Ports and Special Economic Zone Limited,metric_lookup
What is the share price of Apollo Hospitals Enterprise Limited in 2024?,metric_lookup
Find the pe ratio for Apollo Hospitals Enterprise Limited in 2025?,metric_lookup
What was the pb ratio of Apollo Hospitals Enterprise Limited in 2023?,metric_lookup
What is the dividend yield of Apollo Hospitals Enterprise Limited in 2024?,metric_lookup
Which sector does Apollo Hospitals Enterprise Limited operate in?,metric_lookup
What is the net profit for Apollo Hospitals Enterprise Limited?,metric_lookup
Show me the revenue of Apollo Hospitals Enterprise Limited in 2025,metric_lookup
What is the eps of Apollo Hospitals Enterprise Limited in 2023?,metric_lookup
What is the total assets of Asian Paints Limited in 2024?,metric_lookup
Find the total debt for Asian Paints Limited in 2025,metric_lookup
What was the total equity of Asian Paints Limited in 2023?,metric_lookup
What is the operating cash flow of Asian Paints Limited in 2024?,metric_lookup
Show me the market cap of Asian Paints Limited in 2025,metric_lookup
What is the share price of Asian Paints Limited?,metric_lookup
What is the pe ratio of Asian Paints Limited?,metric_lookup
Tell me the pb ratio of Asian Paints Limited,metric_lookup
What is the dividend yield of Axis Bank Limited in 2025?,metric_lookup
In which sector does Axis Bank Limited operate?,metric_lookup
What was the net profit of Axis Bank Limited in 2023?,metric_lookup
How much revenue did Axis Bank Limited report in 2024?,metric_lookup
What is the eps of Axis Bank Limited in 2025?,metric_lookup
Show me the total assets of Axis Bank Limited,metric_lookup
What is the total debt of Axis Bank Limited?,metric_lookup
Find the total equity of Axis Bank Limited,metric_lookup
What is the operating cash flow of Bajaj Auto Limited in 2024?,metric_lookup
What is the market cap of Bajaj Auto Limited in 2025?,metric_lookup
Find the share price for Bajaj Auto Limited in 2023?,metric_lookup
What is the pe ratio of Bajaj Auto Limited in 2024?,metric_lookup
What is the pb ratio of Bajaj Auto Limited in 2025?,metric_lookup
Tell me the dividend yield of Bajaj Auto Limited,metric_lookup
What is the sector for Bajaj Auto Limited?,metric_lookup
What is the net profit of Bajaj Auto Limited?,metric_lookup
What is the revenue of Bajaj Finance Limited in 2023?,metric_lookup
Find the eps of Bajaj Finance Limited in 2024,metric_lookup
What is the total assets for Bajaj Finance Limited in 2025?,metric_lookup
What is the total debt of Bajaj Finance Limited in 2023?,metric_lookup
What is the total equity of Bajaj Finance Limited in 2024?,metric_lookup
Tell me the operating cash flow for Bajaj Finance Limited,metric_lookup
What is the market cap of Bajaj Finance Limited?,metric_lookup
Find the share price for Bajaj Finance Limited,metric_lookup
What is the pe ratio for Bajaj Finserv Ltd. in 2025?,metric_lookup
What is the pb ratio of Bajaj Finserv Ltd. in 2023?,metric_lookup
What is the dividend yield of Bajaj Finserv Ltd. in 2024?,metric_lookup
In which sector is Bajaj Finserv Ltd.?,metric_lookup
What is the net profit of Bajaj Finserv Ltd. in 2025?,metric_lookup
What is the revenue of Bajaj Finserv Ltd.?,metric_lookup
What is the eps of Bajaj Finserv Ltd.?,metric_lookup
Tell me the total assets of Bajaj Finserv Ltd.,metric_lookup
What is the total debt for Bharat Electronics Limited in 2024?,metric_lookup
What is the total equity of Bharat Electronics Limited in 2025?,metric_lookup
Find the operating cash flow of Bharat Electronics Limited in 2023?,metric_lookup
What is the market cap of Bharat Electronics Limited in 2024?,metric_lookup
What is the share price of Bharat Electronics Limited in 2025?,metric_lookup
What is the pe ratio for Bharat Electronics Limited?,metric_lookup
What is the pb ratio of Bharat Electronics Limited?,metric_lookup
Show me the dividend yield for Bharat Electronics Limited,metric_lookup
What sector does Bharat Petroleum Corporation Limited operate in for 2023?,metric_lookup
What is the net profit of Bharat Petroleum Corporation Limited in 2024?,metric_lookup
Find the revenue for Bharat Petroleum Corporation Limited in 2025?,metric_lookup
What is the eps for Bharat Petroleum Corporation Limited in 2023?,metric_lookup
What is the total assets of Bharat Petroleum Corporation Limited in 2024?,metric_lookup
Tell me the total debt for Bharat Petroleum Corporation Limited,metric_lookup
What is the total equity of Bharat Petroleum Corporation Limited?,metric_lookup
What is the operating cash flow of Bharat Petroleum Corporation Limited?,metric_lookup
What is the market cap of Bharti Airtel Limited in 2025?,metric_lookup
What is the share price of Bharti Airtel Limited in 2023?,metric_lookup
Find the pe ratio of Bharti Airtel Limited in 2024?,metric_lookup
What is the pb ratio for Bharti Airtel Limited in 2025?,metric_lookup
What is the dividend yield of Bharti Airtel Limited in 2023?,metric_lookup
What is the sector of Bharti Airtel Limited?,metric_lookup
What is the net profit of Bharti Airtel Limited?,metric_lookup
Find the revenue for Bharti Airtel Limited,metric_lookup
What is the eps of Britannia Industries Limited in 2024?,metric_lookup
What is the total assets for Britannia Industries Limited in 2025?,metric_lookup
Find the total debt of Britannia Industries Limited in 2023?,metric_lookup
What is the total equity of Britannia Industries Limited in 2024?,metric_lookup
What is the operating cash flow for Britannia Industries Limited in 2025?,metric_lookup
What is the market cap of Britannia Industries Limited?,metric_lookup
What is the share price of Britannia Industries Limited?,metric_lookup
Tell me the pe ratio of Britannia Industries Limited,metric_lookup
What is the pb ratio of Cipla Limited in 2023?,metric_lookup
What is the dividend yield for Cipla Limited in 2024?,metric_lookup
In which sector is Cipla Limited in 2025?,metric_lookup
What is the net profit of Cipla Limited in 2023?,metric_lookup
What is the revenue for Cipla Limited in 2024?,metric_lookup
Find the eps for Cipla Limited,metric_lookup
What is the total assets of Cipla Limited?,metric_lookup
What is the total debt of Cipla Limited?,metric_lookup
What is the total equity of Coal India Limited in 2025?,metric_lookup
Find the operating cash flow of Coal India Limited in 2023?,metric_lookup
What is the market cap of Coal India Limited in 2024?,metric_lookup
What is the share price of Coal India Limited in 2025?,metric_lookup
What is the pe ratio of Coal India Limited in 2023?,metric_lookup
What is the pb ratio of Coal India Limited?,metric_lookup
Tell me the dividend yield of Coal India Limited,metric_lookup
Which sector does Coal India Limited belong to?,metric_lookup
What is the net profit of Divi's Laboratories Limited in 2024?,metric_lookup
How much revenue did Divi's Laboratories Limited generate in 2025?,metric_lookup
What is the eps of Divi's Laboratories Limited in 2023?,metric_lookup
What is the total assets of Divi's Laboratories Limited in 2024?,metric_lookup
Find the total debt for Divi's Laboratories Limited in 2025,metric_lookup
What is the total equity of Divi's Laboratories Limited?,metric_lookup
